Source_File,Score_Sum,Count,Percentage
Full_Evaluation(gemini-3-pro-gpt-5.2).csv,26,1,0.27
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,11,3,0.82
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,12,1,0.27
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,13,2,0.55
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,14,11,3.01
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,15,32,8.74
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,16,52,14.21
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,17,76,20.77
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,18,86,23.5
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,19,47,12.84
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,20,33,9.02
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,21,15,4.1
Full_Evaluation(qwen2.5-72b-instruct-gpt-5.2).csv,22,8,2.19
Full_Evaluation(qwen3-max-gpt-5.2).csv,4,2,0.55
Full_Evaluation(qwen3-max-gpt-5.2).csv,6,4,1.09
Full_Evaluation(qwen3-max-gpt-5.2).csv,7,2,0.55
Full_Evaluation(qwen3-max-gpt-5.2).csv,8,1,0.27
Full_Evaluation(qwen3-max-gpt-5.2).csv,9,5,1.37
Full_Evaluation(qwen3-max-gpt-5.2).csv,11,3,0.82
Full_Evaluation(qwen3-max-gpt-5.2).csv,12,2,0.55
Full_Evaluation(qwen3-max-gpt-5.2).csv,13,1,0.27
Full_Evaluation(qwen3-max-gpt-5.2).csv,15,3,0.82
Full_Evaluation(qwen3-max-gpt-5.2).csv,16,2,0.55
Full_Evaluation(qwen3-max-gpt-5.2).csv,17,5,1.37
Full_Evaluation(qwen3-max-gpt-5.2).csv,18,14,3.83
Full_Evaluation(qwen3-max-gpt-5.2).csv,19,18,4.92
Full_Evaluation(qwen3-max-gpt-5.2).csv,20,20,5.46
Full_Evaluation(qwen3-max-gpt-5.2).csv,21,38,10.38
Full_Evaluation(qwen3-max-gpt-5.2).csv,22,58,15.85
Full_Evaluation(qwen3-max-gpt-5.2).csv,23,56,15.3
Full_Evaluation(qwen3-max-gpt-5.2).csv,24,51,13.93
Full_Evaluation(qwen3-max-gpt-5.2).csv,25,33,9.02
Full_Evaluation(qwen3-max-gpt-5.2).csv,26,40,10.93
Full_Evaluation(qwen3-max-gpt-5.2).csv,27,8,2.19
